"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
91,ACTA NEUROPATHOLOGICA,"20,206",18.174,0.041640
92,GUT,"43,400",17.943,0.068110
93,Annual Review of Physiology,"9,562",17.902,0.012800
94,CELL RESEARCH,"15,131",17.848,0.038670
95,CLINICAL MICROBIOLOGY REVIEWS,"19,194",17.750,0.021160
96,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"55,828",17.730,0.068830
97,NATURE CELL BIOLOGY,"40,615",17.728,0.082520
98,Nature Reviews Cardiology,"6,301",17.420,0.018800
99,EUROPEAN UROLOGY,"30,782",17.298,0.070900
100,Annual Review of Fluid Mechanics,"12,706",17.214,0.011270
101,Science Translational Medicine,"30,485",17.200,0.121930
102,BEHAVIORAL AND BRAIN SCIENCES,"9,377",17.194,0.010250
102,BEHAVIORAL AND BRAIN SCIENCES,"9,377",17.194,0.010250
104,Nature Biomedical Engineering,"1,540",17.135,0.006440
105,TRENDS IN BIOCHEMICAL SCIENCES,"17,448",16.889,0.031370
106,Annual Review of Materials Research,"8,086",16.816,0.007830
107,REVIEWS OF GEOPHYSICS,"11,762",16.725,0.012890
108,REPORTS ON PROGRESS IN PHYSICS,"18,176",16.620,0.031770
109,BLOOD,"161,908",16.601,0.241110
110,TRENDS IN CELL BIOLOGY,"14,380",16.588,0.034100
111,Nano Today,"7,980",16.582,0.012950
112,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"63,074",16.494,0.091110
113,PSYCHOLOGICAL BULLETIN,"50,710",16.405,0.027090
113,PSYCHOLOGICAL BULLETIN,"50,710",16.405,0.027090
115,ACS Energy Letters,"10,134",16.331,0.031350
116,TRENDS IN COGNITIVE SCIENCES,"27,095",16.173,0.040040
116,TRENDS IN COGNITIVE SCIENCES,"27,095",16.173,0.040040
118,JAMA Psychiatry,"10,894",15.916,0.055520
118,JAMA Psychiatry,"10,894",15.916,0.055520
120,Lancet Global Health,"6,109",15.873,0.034340
120,Lancet Global Health,"6,109",15.873,0.034340
122,CIRCULATION RESEARCH,"52,988",15.862,0.072270
123,Advanced Science,"8,129",15.804,0.021030
124,Cell Host & Microbe,"17,787",15.753,0.063220
125,ADVANCED FUNCTIONAL MATERIALS,"95,431",15.621,0.175960
126,FUNGAL DIVERSITY,"4,234",15.596,0.006410
127,Annual Review of Condensed Matter Physics,"2,763",15.588,0.011190
128,Nano Energy,"37,106",15.548,0.087250
129,ADVANCED DRUG DELIVERY REVIEWS,"36,350",15.519,0.037420
130,DIABETES CARE,"71,305",15.270,0.096200
131,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"11,790",15.255,0.010610
132,TRENDS IN ECOLOGY & EVOLUTION,"36,697",15.236,0.035920
133,Annual Review of Marine Science,"3,870",15.225,0.008360
134,JOURNAL OF PINEAL RESEARCH,"10,695",15.221,0.010560
135,ENDOCRINE REVIEWS,"13,381",15.167,0.008900
136,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,788",15.143,0.003730
137,HEPATOLOGY,"65,892",14.971,0.095200
138,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"26,534",14.874,0.097940
139,SURFACE SCIENCE REPORTS,"4,655",14.824,0.002470
140,MOLECULAR BIOLOGY AND EVOLUTION,"46,915",14.797,0.092160
141,Lancet HIV,"2,417",14.753,0.014260
142,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"550,343",14.695,0.674630
143,Nature Microbiology,"4,996",14.633,0.027410
144,Living Reviews in Solar Physics,"1,071",14.625,0.002610
145,MOLECULAR CELL,"62,812",14.548,0.170650
146,Nature Geoscience,"24,174",14.480,0.074160
147,Alzheimers & Dementia,"13,341",14.423,0.036320
148,NEURON,"95,348",14.403,0.218590
149,Materials Horizons,"4,587",14.356,0.013710
150,ANNALS OF THE RHEUMATIC DISEASES,"44,754",14.299,0.082790
151,APPLIED CATALYSIS B-ENVIRONMENTAL,"74,797",14.229,0.092290
152,ANNALS OF ONCOLOGY,"40,751",14.196,0.103780
153,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"51,978",14.110,0.076210
154,Annual Review of Clinical Psychology,"5,555",14.098,0.011110
154,Annual Review of Clinical Psychology,"5,555",14.098,0.011110
156,GENOME BIOLOGY,"38,920",14.028,0.133250
157,TRENDS IN PLANT SCIENCE,"21,520",14.006,0.024080
158,Light-Science & Applications,"5,894",14.000,0.019170
159,Advances in Optics and Photonics,"2,494",13.963,0.005220
160,ACS Nano,"152,659",13.903,0.325680
161,Annual Review of Pathology-Mechanisms of Disease,"4,585",13.833,0.008460
162,TRENDS IN BIOTECHNOLOGY,"15,857",13.747,0.019230
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,892",13.744,0.005790
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,"3,892",13.744,0.005790
165,AMERICAN JOURNAL OF PSYCHIATRY,"43,025",13.655,0.036340
165,AMERICAN JOURNAL OF PSYCHIATRY,"43,025",13.655,0.036340
167,COORDINATION CHEMISTRY REVIEWS,"32,760",13.476,0.034900
168,Nature Plants,"3,979",13.297,0.020090
169,IEEE Industrial Electronics Magazine,"1,884",13.241,0.003880
170,National Science Review,"1,842",13.222,0.006500
171,TRENDS IN IMMUNOLOGY,"12,153",13.000,0.025460
172,HUMAN REPRODUCTION UPDATE,"9,206",12.878,0.014390
173,Lancet Gastroenterology & Hepatology,"1,649",12.856,0.007430
174,ACS Central Science,"4,160",12.837,0.017830
175,BIOTECHNOLOGY ADVANCES,"18,021",12.831,0.020270
176,Science Advances,"21,901",12.804,0.109970
177,Applied Physics Reviews,"2,404",12.750,0.008230
178,PROGRESS IN LIPID RESEARCH,"5,839",12.540,0.007150
179,Journal of Thoracic Oncology,"16,601",12.460,0.038880
180,JAMA Neurology,"8,683",12.321,0.042020
181,TRENDS IN NEUROSCIENCES,"20,163",12.314,0.024470
182,Academy of Management Annals,"3,693",12.289,0.009790
183,JOURNAL OF CLINICAL INVESTIGATION,"108,879",12.282,0.139940
184,NANO LETTERS,"163,570",12.279,0.300590
185,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"327,734",12.257,0.546580
185,Annual Review of Biomedical Engineering,"4,634",12.257,0.004980
187,ACS Catalysis,"55,465",12.221,0.140810
188,Physical Review X,"13,462",12.211,0.074260
189,Annual Review of Biophysics,"2,878",12.175,0.008460
190,Nature Chemical Biology,"21,428",12.154,0.061160
191,EUROPEAN JOURNAL OF HEART FAILURE,"12,582",12.129,0.025910
192,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,166",12.109,0.069430
193,Annual Review of Pharmacology and Toxicology,"7,820",12.103,0.009900
194,Annual Review of Neuroscience,"14,042",12.043,0.015010
195,JAMA Pediatrics,"8,016",12.004,0.044290
196,Lancet Haematology,"1,934",11.990,0.010550
197,Annual Review of Physical Chemistry,"8,622",11.982,0.010890
198,TRENDS IN MICROBIOLOGY,"12,514",11.974,0.020690
199,MOLECULAR PSYCHIATRY,"20,353",11.973,0.049280
200,Nature Communications,"243,793",11.878,1.103160
201,NATURAL PRODUCT REPORTS,"11,039",11.876,0.014860
202,JAMA Cardiology,"3,280",11.866,0.019300
203,BRAIN,"52,970",11.814,0.073990
204,EUROPEAN RESPIRATORY JOURNAL,"38,502",11.807,0.064040
205,Annual Review of Entomology,"12,624",11.796,0.009680
206,QUARTERLY JOURNAL OF ECONOMICS,"28,500",11.775,0.055270
207,PROGRESS IN RETINAL AND EYE RESEARCH,"6,284",11.768,0.010010
208,DRUG RESISTANCE UPDATES,"2,856",11.708,0.003590
209,IEEE Transactions on Neural Networks and Learning Systems,"27,444",11.683,0.040210
210,Journal of Statistical Software,"20,164",11.655,0.049130
211,BRITISH JOURNAL OF SPORTS MEDICINE,"21,929",11.645,0.039730
212,Lancet Public Health,799,11.600,0.003770
212,Lancet Public Health,799,11.600,0.003770
214,FEMS MICROBIOLOGY REVIEWS,"12,528",11.524,0.015950
215,TRENDS IN PHARMACOLOGICAL SCIENCES,"12,317",11.523,0.018170
216,BIOLOGICAL PSYCHIATRY,"43,122",11.501,0.053290
217,Nature Protocols,"40,341",11.334,0.081330
218,IMMUNOLOGICAL REVIEWS,"15,517",11.292,0.027030
219,EMBO JOURNAL,"65,212",11.227,0.067990
220,NUCLEIC ACIDS RESEARCH,"181,592",11.147,0.402430
221,Autophagy,"16,161",11.059,0.032620
222,PLOS MEDICINE,"30,689",11.048,0.071200
223,Physics of Life Reviews,"1,514",11.045,0.002650
224,TRENDS IN MOLECULAR MEDICINE,"9,946",11.028,0.018890
225,IEEE WIRELESS COMMUNICATIONS,"7,804",11.000,0.017870
225,Journal of Extracellular Vesicles,"3,675",11.000,0.012110
227,JACC-Cardiovascular Imaging,"8,801",10.975,0.026170
228,Nature Ecology & Evolution,"3,206",10.965,0.016660
229,Earth System Science Data,"2,351",10.951,0.010800
230,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"10,483",10.935,0.015290
231,JOURNAL OF EXPERIMENTAL MEDICINE,"63,983",10.892,0.071770
232,Genome Medicine,"5,264",10.886,0.023220
233,Annual Review of Ecology Evolution and Systematics,"20,257",10.878,0.011780
234,Small,"49,968",10.856,0.091440
235,Annual Review of Cell and Developmental Biology,"9,734",10.833,0.016760
236,Molecular Plant,"9,274",10.812,0.027130
237,Annual Review of Public Health,"6,769",10.776,0.011690
237,Annual Review of Public Health,"6,769",10.776,0.011690
239,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"3,427",10.764,0.006410
240,Journal of Cachexia Sarcopenia and Muscle,"2,799",10.754,0.005860
241,Journal of Materials Chemistry A,"126,337",10.733,0.295180
242,Information Fusion,"4,746",10.716,0.008360
243,PROCEEDINGS OF THE IEEE,"34,533",10.694,0.028250
244,Molecular Cancer,"11,626",10.679,0.021340
245,JAMA Surgery,"6,432",10.668,0.034060
246,Advances in Applied Mechanics,"1,381",10.667,0.000280
247,PROGRESS IN NEUROBIOLOGY,"12,929",10.658,0.013220
248,ACADEMY OF MANAGEMENT REVIEW,"35,903",10.632,0.011690
249,TRENDS IN GENETICS,"11,959",10.627,0.021110
250,EMBO Molecular Medicine,"7,507",10.624,0.025980
251,Nature Human Behaviour,"1,230",10.575,0.006540
251,Nature Human Behaviour,"1,230",10.575,0.006540
253,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"88,430",10.556,0.133610
254,Science Immunology,"1,292",10.551,0.007570
255,SLEEP MEDICINE REVIEWS,"6,920",10.517,0.010910
256,Nature Astronomy,"1,493",10.500,0.006480
257,IEEE Transactions on Smart Grid,"22,572",10.486,0.043980
258,Microbiome,"4,428",10.465,0.018060
259,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"17,370",10.427,0.030250
259,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"17,370",10.427,0.030250
261,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,934",10.405,0.003530
262,AGEING RESEARCH REVIEWS,"6,539",10.390,0.015890
263,IEEE Transactions on Cybernetics,"13,561",10.387,0.046070
264,IEEE COMMUNICATIONS MAGAZINE,"24,753",10.356,0.053750
265,THORAX,"22,808",10.307,0.029530
266,BIOLOGICAL REVIEWS,"12,482",10.288,0.019270
267,BIOMATERIALS,"109,384",10.273,0.102150
267,PSYCHOLOGICAL INQUIRY,"4,463",10.273,0.003270
269,SYSTEMATIC BIOLOGY,"16,961",10.266,0.020930
270,Annual Review of Microbiology,"10,068",10.242,0.009680
271,AMERICAN JOURNAL OF GASTROENTEROLOGY,"33,038",10.241,0.042560
272,JNCI-Journal of the National Cancer Institute,"36,790",10.211,0.051770
273,Annual Review of Phytopathology,"7,936",10.200,0.007370
274,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,"1,789",10.172,0.002790
275,CHEMISTRY OF MATERIALS,"106,568",10.159,0.150250
276,Annual Review of Medicine,"6,068",10.091,0.009020
276,NEURO-ONCOLOGY,"11,858",10.091,0.029130
278,GENOME RESEARCH,"39,240",9.944,0.079590
278,LEUKEMIA,"24,555",9.944,0.054750
280,AMERICAN JOURNAL OF HUMAN GENETICS,"36,007",9.924,0.063620
281,CLINICAL PSYCHOLOGY REVIEW,"16,566",9.904,0.021100
282,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"6,314",9.903,0.006310
283,Molecular Systems Biology,"8,936",9.800,0.019670
284,MEDICINAL RESEARCH REVIEWS,"4,560",9.791,0.004920
285,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"8,968",9.777,0.016630
286,IEEE Geoscience and Remote Sensing Magazine,952,9.659,0.003270
287,SEMINARS IN CANCER BIOLOGY,"6,992",9.658,0.010730
288,CHEST,"50,453",9.657,0.053590
289,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"661,118",9.580,1.021890
290,Annual Review of Chemical and Biomolecular Engineering,"1,641",9.569,0.003340
291,Chemical Science,"43,152",9.556,0.129310
292,JACC-Cardiovascular Interventions,"11,555",9.544,0.033700
293,EARTH-SCIENCE REVIEWS,"17,382",9.530,0.030090
294,BIOSENSORS & BIOELECTRONICS,"57,168",9.518,0.077810
295,IEEE Internet of Things Journal,"6,119",9.515,0.010690
296,ANNALS OF NEUROLOGY,"37,336",9.496,0.048610
297,ISME Journal,"23,603",9.493,0.051310
298,ANNALS OF SURGERY,"50,355",9.476,0.066650
299,GREEN CHEMISTRY,"45,125",9.405,0.065440
300,PHARMACOLOGY & THERAPEUTICS,"15,434",9.396,0.022530
301,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,"11,493",9.360,0.006170
302,Analytic Methods in Accident Research,669,9.333,0.002420
302,Nature Reviews Urology,"3,262",9.333,0.009550
304,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"20,299",9.302,0.046080
305,Optica,"7,232",9.263,0.036170
306,Annual Review of Earth and Planetary Sciences,"8,108",9.235,0.009380
307,PHYSICAL REVIEW LETTERS,"448,064",9.227,0.578700
308,STUDIES IN MYCOLOGY,"2,939",9.206,0.004180
309,npj Computational Materials,954,9.200,0.003660
310,CURRENT BIOLOGY,"60,772",9.193,0.135820
311,DEVELOPMENTAL CELL,"28,572",9.190,0.068750
312,Annual Review of Genetics,"7,478",9.184,0.011370
313,Cold Spring Harbor Perspectives in Biology,"15,375",9.110,0.041820
314,Ocular Surface,"2,304",9.108,0.005060
315,BRIEFINGS IN BIOINFORMATICS,"5,750",9.101,0.018010
316,Nanoscale Horizons,888,9.095,0.002340
317,Health Psychology Review,"1,748",9.070,0.005540
318,MASS SPECTROMETRY REVIEWS,"3,909",9.068,0.003970
319,JOURNAL OF MANAGEMENT,"22,640",9.056,0.022860
319,Laser & Photonics Reviews,"6,636",9.056,0.016230
321,CLINICAL INFECTIOUS DISEASES,"64,031",9.055,0.118940
322,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,"10,680",9.052,0.009540
323,Nano-Micro Letters,"2,209",9.043,0.003590
324,Arthritis & Rheumatology,"10,169",9.002,0.046110
325,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"3,487",9.000,0.001030
326,GENES & DEVELOPMENT,"54,563",8.990,0.072380
327,REVIEW OF EDUCATIONAL RESEARCH,"9,451",8.985,0.005970
328,CLINICAL CANCER RESEARCH,"78,171",8.911,0.134890
329,JACC-Heart Failure,"3,537",8.910,0.016730
330,JOURNAL OF CELL BIOLOGY,"67,347",8.891,0.075690
331,Trends in Cancer,"1,420",8.884,0.006040
332,GLOBAL CHANGE BIOLOGY,"42,119",8.880,0.075640
332,MEDICAL IMAGE ANALYSIS,"7,694",8.880,0.013360
334,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"2,497",8.848,0.003270
335,PROGRESS IN SURFACE SCIENCE,"1,964",8.762,0.001830
336,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"15,574",8.759,0.018430
337,Reviews in Mineralogy & Geochemistry,"5,825",8.745,0.006090
338,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,"5,682",8.738,0.008000
339,Social Issues and Policy Review,517,8.733,0.001340
340,Journal of Hematology & Oncology,"5,366",8.731,0.013620
341,Journal for ImmunoTherapy of Cancer,"2,716",8.728,0.011350
342,Annual Review of Analytical Chemistry,"2,184",8.721,0.003750
343,ECOLOGY LETTERS,"32,776",8.699,0.046510
344,NEUROLOGY,"89,258",8.689,0.115150
345,GENETICS IN MEDICINE,"10,855",8.683,0.035760
346,Cell Systems,"2,275",8.640,0.016280
347,PLANT CELL,"52,034",8.631,0.057770
348,Cancer Immunology Research,"5,420",8.619,0.025380
349,Annual Review of Environment and Resources,"4,214",8.617,0.004780
349,Annual Review of Environment and Resources,"4,214",8.617,0.004780
351,JOURNAL OF HEART AND LUNG TRANSPLANTATION,"12,436",8.578,0.027260
352,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"38,177",8.547,0.055520
353,CURRENT OPINION IN CHEMICAL BIOLOGY,"10,499",8.544,0.018980
354,TRENDS IN FOOD SCIENCE & TECHNOLOGY,"14,653",8.519,0.014760
355,Nano Research,"16,517",8.515,0.031810
356,Annual Review of Food Science and Technology,"1,887",8.511,0.003160
357,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"12,841",8.508,0.008690
358,ORGANIZATION & ENVIRONMENT,"1,722",8.500,0.001700
359,ACS Applied Materials & Interfaces,"170,096",8.456,0.366350
360,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,"15,717",8.428,0.022190
361,APPLIED ENERGY,"81,221",8.426,0.128490
362,Annual Review of Nutrition,"5,565",8.422,0.004320
363,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,"3,955",8.418,0.004700
364,MOLECULAR THERAPY,"16,991",8.402,0.030050
365,PLOS BIOLOGY,"29,974",8.386,0.057940
366,EMBO REPORTS,"13,786",8.383,0.029880
367,CANCER RESEARCH,"130,932",8.378,0.123850
368,Astrophysical Journal Letters,"34,259",8.374,0.113420
369,CHEMICAL ENGINEERING JOURNAL,"95,055",8.355,0.121860
370,CANCER TREATMENT REVIEWS,"8,419",8.332,0.016940
371,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,"29,660",8.327,0.030710
372,MOLECULAR ASPECTS OF MEDICINE,"5,568",8.313,0.009020
373,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"28,834",8.311,0.050940
374,KIDNEY INTERNATIONAL,"42,627",8.306,0.043320
375,BMC Medicine,"13,630",8.285,0.045210
376,Molecular Neurodegeneration,"4,248",8.274,0.011350
377,npj Quantum Information,864,8.270,0.005340
378,ADVANCES IN COLLOID AND INTERFACE SCIENCE,"14,094",8.243,0.013970
379,CURRENT OPINION IN CELL BIOLOGY,"13,417",8.233,0.025790
380,MOVEMENT DISORDERS,"26,964",8.222,0.037630
381,REMOTE SENSING OF ENVIRONMENT,"54,482",8.218,0.048610
382,Cellular & Molecular Immunology,"4,058",8.213,0.009160
383,Obesity Reviews,"11,567",8.192,0.023720
384,Perspectives on Psychological Science,"9,318",8.190,0.022830
385,PSYCHOLOGICAL METHODS,"12,744",8.188,0.011600
386,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"22,959",8.166,0.035340
387,SPACE SCIENCE REVIEWS,"11,758",8.142,0.025880
388,Wiley Interdisciplinary Reviews-Computational Molecular Science,"5,057",8.127,0.008990
389,CELL DEATH AND DIFFERENTIATION,"19,729",8.086,0.030280
390,CURRENT OPINION IN BIOTECHNOLOGY,"15,326",8.083,0.023020
391,Theranostics,"8,769",8.063,0.020270
392,NPG Asia Materials,"4,387",8.052,0.011090
393,ADMINISTRATIVE SCIENCE QUARTERLY,"19,327",8.024,0.008750
394,TRENDS IN PARASITOLOGY,"6,640",8.020,0.012220
395,Applied Materials Today,"1,608",8.013,0.003470
396,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"26,724",8.002,0.051570
397,JAMA Dermatology,"4,578",7.995,0.021030
398,Clinical Gastroenterology and Hepatology,"16,723",7.958,0.038200
399,ENVIRONMENT INTERNATIONAL,"23,409",7.943,0.031440
400,Annual Review of Genomics and Human Genetics,"2,537",7.914,0.006020
401,WATER RESEARCH,"87,258",7.913,0.075510
402,JOURNAL OF CONTROLLED RELEASE,"47,630",7.901,0.052220
403,Blood Cancer Journal,"2,247",7.895,0.009060
404,PERIODONTOLOGY 2000,"4,534",7.861,0.005730
405,FRONTIERS IN NEUROENDOCRINOLOGY,"4,196",7.852,0.005490
406,Journal of Crohns & Colitis,"7,199",7.827,0.020760
407,Gut Microbes,"3,203",7.823,0.008110
408,JOURNAL OF MARKETING,"24,994",7.821,0.008270
409,IEEE TRANSACTIONS ON MEDICAL IMAGING,"19,545",7.816,0.024980
410,Cell Reports,"39,510",7.815,0.235690
411,METABOLIC ENGINEERING,"7,967",7.808,0.016110
412,ChemSusChem,"24,207",7.804,0.045660
413,Redox Biology,"7,192",7.793,0.019620
414,THYROID,"11,972",7.786,0.022790
415,CLADISTICS,"3,966",7.779,0.004320
416,JOURNAL OF OPERATIONS MANAGEMENT,"10,651",7.776,0.006330
416,JOURNAL OF OPERATIONS MANAGEMENT,"10,651",7.776,0.006330
416,PROGRESS IN PHOTOVOLTAICS,"8,325",7.776,0.011390
419,Cochrane Database of Systematic Reviews,"67,607",7.755,0.158690
420,ENVIRONMENTAL HEALTH PERSPECTIVES,"42,166",7.736,0.039540
421,OPHTHALMOLOGY,"38,634",7.732,0.050260
422,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,"20,998",7.731,0.033410
423,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,"15,419",7.724,0.008020
424,JOURNAL OF CATALYSIS,"47,618",7.723,0.033180
425,AUTOIMMUNITY REVIEWS,"9,127",7.716,0.018230
